symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
YESBANK,65581,63876,1705,2.67,23263,38042.77955,12493333390,39536.48145,1493.7019,21
PATANJALI,47766,46537,1229,2.64,33957,53733.82592,9276062490,55173.56582,1439.7399,469
LICHSGFIN,48064,46886,1178,2.51,9420,14571.2291,3844052330,14942.2024,370.9733,541
SUZLON,64976,63402,1574,2.48,21367,29919.5334,7700302648,31451.35838,1531.82498,52
GLENMARK,41460,40484,976,2.41,22855,39659.81152,16764487166,42775.68318,3115.87166,2409
HINDALCO,74665,72913,1752,2.4,48113,54143.55856,30693564426,59060.42282,4916.86426,1047
BAJFINANCE,149369,145942,3427,2.35,52271,57533.92717,31044265605,61621.53322,4087.60605,928
PHOENIXLTD,17322,16929,393,2.32,4436,4211.94214,2353640194,4480.48408,268.54194,1717
PERSISTENT,68314,66774,1540,2.31,125085,48239.00646,60452731206,58287.36852,10048.36206,5068
INOXWIND,36965,36142,823,2.28,9662,9782.9855,2451604040,10469.7784,686.7929,96
POLYCAB,46413,45389,1024,2.26,49806,33424.70591,54540344743,38019.65335,4594.94743,9170
MAZDOCK,63398,62019,1379,2.22,33576,15906.85408,15649567518,17935.44926,2028.59518,2425
POWERGRID,76162,74516,1646,2.21,49882,41266.83568,24793948502,43440.5132,2173.67752,298
IREDA,28569,27956,613,2.19,6796,12412.48543,1874326315,12725.26208,312.77665,127
NYKAA,21262,20813,449,2.16,4612,15400.13375,2459134125,15823.0375,422.90375,270
KFINTECH,30448,29807,641,2.15,12664,12272.78483,4173005090,12883.33573,610.5509,825
IDFCFIRSTB,74832,73263,1569,2.14,17258,30984.88398,7964552501,32120.78024,1135.89626,67
DLF,76726,75151,1575,2.1,45029,28850.34563,18870313052,30766.3399,1915.99427,577
SOLARINDS,33314,32653,661,2.02,72911,40743.14906,63702066102,50196.18508,9453.03602,18100
IRFC,39591,38817,774,1.99,15990,10306.81985,6032834625,10908.0461,601.22625,97
JSWSTEEL,95578,93730,1848,1.97,25378,38238.04334,18672541274,40452.40858,2214.36524,1283
SHRIRAMFIN,85977,84326,1651,1.96,23475,35754.70131,15082817763,37658.16895,1903.46763,927
PNB,73646,72284,1362,1.88,32367,61817.7544,20695879680,64839.8312,3022.0768,101
ETERNAL,143926,141307,2619,1.85,114252,85249.9792,61198645196,93717.40554,8467.42633,246
BANKBARODA,70355,69089,1266,1.83,27512,33848.98773,18098879935,35946.24959,2097.26185,260
LT,185724,182470,3254,1.78,79456,73440.68733,48087005622,78805.64356,5364.95622,3910
JIOFIN,131823,129544,2279,1.76,34813,31247.93825,16785727251,33696.58326,2448.64501,233
UPL,36024,35404,620,1.75,11024,16024.36414,8168243154,17012.14193,987.77779,635
ITC,219562,216033,3529,1.63,167697,77536.32694,77495011209,85156.77028,7620.44334,310
MARICO,27532,27094,438,1.62,7712,8121.73476,7078812564,8514.2604,392.52564,832
NESTLEIND,45807,45081,726,1.61,16198,17536.5498,10103273380,18641.1836,1104.6338,1429
TIINDIA,18669,18377,292,1.59,12849,6872.9139,6896785722,7865.21112,992.29722,2870
SUNPHARMA,164171,161707,2464,1.52,77725,49227.18024,47172623025,53854.40049,4627.22025,1884
COLPAL,37503,36951,552,1.49,21549,18991.9958,8956908317,20425.92397,1433.92817,2190
BDL,28158,27745,413,1.49,18297,14012.69966,7392382858,15121.96824,1109.26858,1310
ADANIPORTS,91904,90646,1258,1.39,69429,54289.55614,54270336333,61344.82447,7055.26833,1764
WAAREEENER,74653,73651,1002,1.36,27662,20395.25342,13121595793,21946.09886,1550.84543,2994
VBL,59494,58707,787,1.34,19686,29775.44574,8585769048,30877.26748,1101.82173,514
ASIANPAINT,99385,98086,1299,1.32,33462,19464.679,20203416107,21530.54007,2065.86107,2597
EXIDEIND,28472,28107,365,1.3,6641,10076.26914,3216213774,10553.09688,476.82774,344
KALYANKJIL,68865,67992,873,1.28,31666,19118.70761,11905111092,20862.04853,1743.34092,344
SBICARD,54800,54114,686,1.27,15947,16547.3808,6578550568,17680.96648,1133.58568,625
BANKINDIA,23932,23637,295,1.25,9019,19472.43636,4790204172,20138.84808,666.41172,138
BANDHANBNK,45699,45139,560,1.24,14076,24743.08584,7558783308,25770.32892,1027.24308,190
GMRAIRPORT,31688,31323,365,1.17,6645,9464.06641,3572159829,9964.84421,500.77779,93
HEROMOTOCO,64589,63893,696,1.09,50513,30845.03526,35899754341,34469.55367,3624.51841,5000
FORTIS,18785,18595,190,1.02,4755,7491.83758,2866245926,7920.58184,428.74426,959
FEDERALBNK,59092,58500,592,1.01,24217,28867.83675,14803854450,30574.56875,1706.732,286
TCS,443461,439049,4412,1,451424,167618.71734,171781161562,187837.25796,20218.54062,2330
HDFCAMC,32344,32023,321,1,13896,17202.46455,9609833034,18416.79489,1214.33034,2658
CDSL,60689,60122,567,0.94,41208,29578.09211,21566429450,32533.39661,2955.3045,1208
