symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
MARUTI,130568,140749,-10181,-7.23,204254,163928.85733,125744709610,172037.20343,8108.3461,13805
MCX,79000,85659,-6659,-7.77,65387,108360.60837,30849457342,113405.1068,5044.49842,2725
TATAELXSI,60071,65638,-5567,-8.48,57554,61402.48662,20636126707,64246.5662,2844.07957,3577
MAZDOCK,43855,47969,-4114,-8.58,32232,69518.37856,10097826383,70682.27739,1163.89883,2293
BOSCHLTD,16522,18108,-1586,-8.76,15389,34904.73942,12707212595,35458.61537,553.87595,41350
INDIGO,89339,98201,-8862,-9.02,87163,75850.63236,60912508359,80605.39095,4754.75859,5278
POLYCAB,50654,56196,-5542,-9.86,53860,111974.84973,51087803946,115982.6392,4007.78946,9125
ABB,42707,47619,-4912,-10.32,47656,80043.6298,36027150777,83509.20007,3465.57027,7201
DIXON,114091,127810,-13719,-10.73,109567,99779.68113,66425704444,106214.70057,6435.01944,13922
KFINTECH,21570,25106,-3536,-14.08,51194,52924.77031,23314565048,56378.50579,3453.73548,968
BAJAJ-AUTO,88515,103400,-14885,-14.4,115721,109958.38548,86794018005,117185.44053,7227.05505,11401
FORCEMOT,26063,30717,-4654,-15.15,35146,27466.22078,12981460705,28784.70283,1318.48205,17185
EXIDEIND,16474,19462,-2988,-15.35,18281,36217.65906,10657494630,36812.16036,594.5013,422
OFSS,38512,48908,-10396,-21.26,92612,97922.55426,96446829676,108576.56102,10654.00676,11320
NUVAMA,4415,6042,-1627,-26.93,11082,9961.64845,9483719145,10345.2399,383.59145,1799
