symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
APLAPOLLO,22181,21995,186,0.85,6715,13251.64704,3082156017,13874.64722,623.00017,1825
DABUR,32639,32378,261,0.81,6809,10466.15475,2651011050,10808.76525,342.6105,425
BEL,135525,134473,1052,0.78,31991,27023.97445,16597486788,30053.93984,3029.96538,408
DMART,34134,33875,259,0.76,22888,17889.77904,13042608577,20121.73981,2231.96077,4142
SBILIFE,29272,29051,221,0.76,10870,14458.7556,6076185817,15405.71377,946.95817,1785
INFY,353920,351269,2651,0.75,107723,84845.40532,45198047028,92818.7956,7973.39028,1199
BHARATFORG,20366,20221,145,0.72,8810,15344.6427,6719883890,16302.2816,957.6389,1930
NAM-INDIA,12639,12551,88,0.7,7515,20076.05106,3392510612,20911.65718,835.60612,1111
PNBHOUSING,21283,21135,148,0.7,7539,17537.87282,3382262819,18330.10101,792.22819,998
GAIL,38345,38079,266,0.7,16103,16335.37939,7109430376,17799.79516,1464.41576,168
SHRIRAMFIN,74138,73656,482,0.65,42742,78469.59615,26126196178,84910.26043,6440.66428,922
GVT&D,11584,11509,75,0.65,3533,7036.0685,1638796288,7511.28138,475.21288,5026
UPL,25245,25087,158,0.63,4573,16278.23057,2430661384,16729.12091,450.89034,637
CUMMINSIND,31870,31696,174,0.55,11436,29232.1279,10668140564,31115.93354,1883.80564,5776
HINDUNILVR,100323,99815,508,0.51,53580,46665.48756,29625216003,50535.18759,3869.70003,2121
MAZDOCK,37937,37747,190,0.5,14084,10264.63199,6550078098,11374.37297,1109.74098,2425
LODHA,40691,40489,202,0.5,23112,10670.23887,8424452406,12843.50043,2173.26156,895
SIEMENS,33062,32933,129,0.39,11636,13561.34052,6480396352,14923.51654,1362.17602,3700
INOXWIND,47348,47179,169,0.36,12316,13235.3035,2721120655,13924.9738,689.6703,87
POWERINDIA,45120,44961,159,0.35,27839,30033.29076,23219608047,34859.12124,4825.83047,36765
NBCC,26658,26567,91,0.34,18779,34719.80265,9995000665,37879.6093,3159.80665,106
CDSL,50309,50150,159,0.32,23752,16989.58815,12484987043,19327.74358,2338.15543,1216
IDFCFIRSTB,66845,66638,207,0.31,20549,29233.46347,11254492760,31477.30857,2243.8451,72
ZYDUSLIFE,19721,19675,46,0.23,4972,8906.58819,4024255815,9604.04634,697.45815,1090
ICICIPRULI,28568,28507,61,0.21,18941,23983.16597,6385914720,25372.48443,1389.31845,485
IOC,39885,39805,80,0.2,12239,13796.52836,7140501858,15027.4332,1230.90483,138
OIL,17048,17017,31,0.18,5975,8882.5128,3327617258,9595.17538,712.66258,483
HAL,73922,73788,134,0.18,30921,21241.4236,18171091050,24804.9841,3563.5605,4216
BAJAJ-AUTO,71201,71136,65,0.09,17141,13745.19526,12127031761,15327.96288,1582.76761,10350
PRESTIGE,16179,16167,12,0.07,7252,11622.36811,3561927192,12519.46003,897.09192,1385
ITC,219813,219699,114,0.05,71505,46744.43926,28465485236,50510.1755,3765.73624,280
