symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
INDOTECH,BE,3787.5,180.3,   5.00,5,3787.5,3550,3787.5,1100,0.22967,8.530058635
EEPL,SM,119,19.15,  19.18,20,119.8,101.85,232.8,91,5.72,6.811376
TECHERA,SM,174.05,8.25,   4.98,5,174.05,168.1,325.7,127.55,3.4,5.8752
METALIC,ST,114.5,3.35,   3.01,5,116.7,113.5,116.7,81.4,3.744,4.3520256
MANAKSTEEL,EQ,88.21,6.87,   8.45,10,89.47,78.02,89.47,45.11,4.92125,4.266231625
TREJHARA,EQ,165.75,14.96,   9.92,10,165.86,155.26,284.85,128.4,2.38674,3.865802778
MASPTOP50,EQ,80.94,1.71,   2.16,20,80.94,80.65,82.78,60.33,4.42591,3.5818889630000004
MONQ50,EQ,146.88,4.36,   3.06,20,146.88,145.26,147.24,79,2.06443,3.028725253
ACSTECH,EQ,46.2,1.87,   4.22,5,46.54,44.71,47.07,31.71,6.35273,2.927337984
VIVIDEL,ST,1379.05,65.65,   5.00,5,1379.05,1379,1429,556,0.1968,2.7139507199999997
MAHKTECH,EQ,23.93,0.04,   0.17,20,23.95,23.75,35.59,21,10.63561,2.5429743510000002
GANGAFORGE,BE,2.03,0.09,   4.64,5,2.03,1.99,3.29,1.59,121.84856,2.4613409120000003
SAHASRA,ST,328.05,15.6,   4.99,5,328.05,312,373,188.35,0.576,1.875744
SANDESH,EQ,1187.75,197.95,  20.00,20,1187.75,1160,1438.5,811,0.15349,1.820268608
MCL,EQ,58.28,2.96,   5.35,10,60.85,54.9,93.2,42,2.73838,1.5964755400000001
SICAGEN,EQ,61.81,10.3,  20.00,20,61.81,51.49,61.81,46.55,2.68108,1.570308556
SALSTEEL,EQ,62.77,2.98,   4.98,5,62.77,60.12,65.5,14.37,2.42571,1.517039034
GATECH,BE,0.64,0.02,   3.23,5,0.65,0.64,0.93,0.4,226.37684,1.4488117759999999
TECHNVISN,EQ,5308.2,482.5,  10.00,10,5308.2,4592.1,6198,3222.8,0.02711,1.403216311
PATILAUTOM,ST,200.75,9.55,   4.99,5,200.75,190,234,112.05,0.672,1.328208
BIRLACABLE,BE,247.72,11.79,   5.00,5,247.72,247.72,247.72,104,0.45827,1.135226444
GULFPETRO,BE,54.68,2.6,   4.99,5,54.68,52,55.07,23.25,2.07798,1.125641766
OMAXAUTO,BE,194.2,3.76,   1.97,5,199.96,183.25,263.4,84.5,0.54805,1.0712733349999999
